Position,Name,Contract,2017,2018,2019,2020,OG Contract,Year,Salary Total,Cap Total ,Cap Space,Cap Hit
,,,,,,,,2017,$209.31,$425.43,$216.12,$12.20
QB,Matt Ryan,1,$41.73,,,,,2018,$155.35,$446.70,$291.35,
QB,,,,,,,,2019,$40.78,$469.04,$428.26,
QB,,,,,,,,2020,$0.00,$492.49,$492.49,
QB,,,,,,,,,,,,
QB,,,,,,,,,,,,
RB,David Johnson,2,$12.96,$15.55,,,4,,,,,
RB,Kenneth Dixon,2,$8.40,$10.08,,,3,,,,,
RB,Paul Perkins,2,$7.20,$8.64,,,3,,,,,
RB,Tevin Coleman,1,$7.20,,,,3,,,,,
RB,Dion Lewis,3,$1.20,$1.44,$1.73,,4,,,,,
RB,DeAndre Washington,3,$1.20,$1.44,$1.73,,4,,,,,
RB,,,,,,,,,,,,
RB,,,,,,,,,,,,
RB,,,,,,,,,,,,
RB,,,,,,,,,,,,
WR,Julio Jones,2,$72.58,$87.10,,,,,,,,
WR,Mike Evans,3,$25.92,$31.10,$37.32,,,,,,,
WR,DeVante Parker,1,$18.72,,,,3,,,,,
WR,,,,,,,,,,,,
WR,,,,,,,,,,,,
WR,,,,,,,,,,,,
WR,,,,,,,,,,,,
WR,,,,,,,,,,,,
WR,,,,,,,,,,,,
WR,,,,,,,,,,,,
TE,,,,,,,,,,,,
TE,,,,,,,,,,,,
TE,,,,,,,,,,,,
TE,,,,,,,,,,,,
K,,,,,,,,,,,,
K,,,,,,,,,,,,
K,,,,,,,,,,,,
DEF,,,,,,,,,,,,
DEF,,,,,,,,,,,,
DEF,,,,,,,,,,,,
IR,,,,,,,,,,,,
IR,,,,,,,,,,,,
IR,,,,,,,,,,,,
